club_decade_player_id,club_decade_id,team_id,team_name,decade,player_id,player_name,citizenship,position,main_position,game_position,seasons_count,rows_count,goals,assists,clean_sheets,goals_conceded,yellow_cards,direct_red_cards,penalty_goals,minutes_played,raw_score,local_rating,global_rating,global_percentile,hidden_modifier,effective_global_rating
10674_fk_kharkiv_2010_2000s_167028,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,167028,Igor Prodan (167028),Ukraine,Attack - Centre-Forward,Attack,FW,1,1,0.0,0,0,0,0,0,0,0.0,3.0,51.4,51.2,0.16754871301419294,1.0,51.2
10674_fk_kharkiv_2010_2000s_28924,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,28924,Oleksiy Ivanov (28924),Ukraine,Midfield - Attacking Midfield,Midfield,AM,1,1,0.0,0,0,0,4,1,0,0.0,1.5,50.7,45.4,0.00950204474380563,1.0,45.4
10674_fk_kharkiv_2010_2000s_57888,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,57888,Pavlo Ksyonz (57888),Ukraine,Defender - Right-Back,Defender,RB,1,1,0.0,0,0,0,0,0,0,0.0,1.0,50.5,45.1,0.0039692085638681745,1.0,45.1
10690_zorya_lugansk_2000s_25845,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,25845,Oleksiy Antonov (25845),Ukraine,Attack - Centre-Forward,Attack,FW,3,3,4.0,3,0,0,4,0,0,970.0,41.0,95.0,76.5,0.8559057012268463,1.0,76.5
10690_zorya_lugansk_2000s_12064,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,12064,Igor Skoba (12064),Ukraine  Russia,Midfield - Central Midfield,Midfield,CM,3,3,5.0,1,0,0,6,0,3,2035.0,38.0,91.7,75.8,0.8444791917248016,1.0,75.8
10690_zorya_lugansk_2000s_58230,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58230,Darko Dunjic (58230),Serbia,Defender - Right-Back,Defender,RB,2,2,1.0,6,0,0,2,0,0,1980.0,35.0,88.4,75.1,0.8263170555689199,1.0,75.1
10690_zorya_lugansk_2000s_59423,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,59423,Aleksey Kurilov (59423),Russia  Ukraine,Defender - Centre-Back,Defender,CB,2,2,3.0,1,0,0,4,0,0,1557.0,25.0,77.4,72.2,0.7552321385614625,1.0,72.2
10690_zorya_lugansk_2000s_58246,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58246,Alexandru Popovici (58246),Moldova  Russia,Attack - Centre-Forward,Attack,FW,2,2,1.0,2,0,0,3,0,0,491.0,19.0,70.9,69.6,0.6904017320182824,1.0,69.6
10690_zorya_lugansk_2000s_41885,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,41885,Sergiy Silyuk (41885),Ukraine,Attack - Centre-Forward,Attack,FW,1,1,2.0,1,0,0,2,0,1,493.0,17.0,68.7,68.6,0.6645417368294443,1.0,68.6
10690_zorya_lugansk_2000s_58255,10690_zorya_lugansk_2000s,10690,Zorya Lugansk,2000s,58255,Yuriy Tselykh (58255),Ukraine,Attack - Centre-Forward,Attack,FW,1,1,1.0,2,0,0,2,0,0,765.0,16.0,67.6,67.9,0.6464998797209526,1.0,67.9
