player_name,normalized_player_name,club_name,decade,source_pass,confidence,input_position,game_position,goals,assists,clean_sheets,seasons_count,raw_score,provisional_rating,rating_reason,player_id,club_decade_player_id
Ihor Zhabchenko,ihor zhabchenko,Chornomorets Odesa,1990s,legends,Medium,MF,CM,,,,,,73.7,Relative legends rating at the 84% percentile of the same-position group (3 players); confidence=Medium,8285473,6992_chornomorets_odesa_1990s_8285473
Ihor Khudobyak,ihor khudobyak,Karpaty Lviv,2000s,legends,High,AM/CM,AM,,,,5,15.0,69.6,Relative legends rating at the 90% percentile of the same-position group (3 players); confidence=High; reconstructed statistics were too incomplete for rating,8717675,2477_karpaty_lviv_2000s_8717675
Ihor Khudobyak,ihor khudobyak,Karpaty Lviv,2010s,legends,High,AM/CM,AM,,,,7,21.0,80.1,Relative legends rating at the 90% percentile of the same-position group (10 players); confidence=High; reconstructed statistics were too incomplete for rating,8717675,2477_karpaty_lviv_2010s_8717675
Serhiy Kuznetsov,serhiy kuznetsov,Karpaty Lviv,2000s,legends,Medium,FW,FW,,,,2,6.0,85.9,Relative legends rating at the 87% percentile of the same-position group (11 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8574234,2477_karpaty_lviv_2000s_8574234
Serhiy Kuznetsov,serhiy kuznetsov,Karpaty Lviv,2010s,legends,Medium,FW,FW,,,,2,6.0,84.0,Relative legends rating at the 87% percentile of the same-position group (13 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8574234,2477_karpaty_lviv_2010s_8574234
Serhiy Dolhanskyi,serhiy dolhanskyi,Vorskla Poltava,2000s,legends,High,GK,GK,,,,,,81.2,Relative legends rating at the 90% percentile of the same-position group (4 players); confidence=High,8986233,2740_vorskla_poltava_2000s_8986233
Serhiy Dolhanskyi,serhiy dolhanskyi,Vorskla Poltava,2010s,legends,High,GK,GK,,,,,,75.6,Relative legends rating at the 90% percentile of the same-position group (13 players); confidence=High,8986233,2740_vorskla_poltava_2010s_8986233
Vyacheslav Checher,vyacheslav checher,Metalurg Donetsk (- 2015),2000s,legends,High,CB,CB,,,,,,72.5,Relative legends rating at the 90% percentile of the same-position group (7 players); confidence=High,8518009,2783_metalurg_donetsk__2015_2000s_8518009
Vyacheslav Checher,vyacheslav checher,Metalurg Donetsk (- 2015),2010s,legends,High,CB,CB,,,,,,70.3,Relative legends rating at the 90% percentile of the same-position group (3 players); confidence=High,8518009,2783_metalurg_donetsk__2015_2010s_8518009
Serhiy Shyshchenko,serhiy shyshchenko,Metalurg Donetsk (- 2015),1990s,legends,High,AM/FW,AM,,,,,,74.8,Relative legends rating at the 87% percentile of the overall club-decade pool (11 players); confidence=High,8913731,2783_metalurg_donetsk__2015_1990s_8913731
Serhiy Shyshchenko,serhiy shyshchenko,Metalurg Donetsk (- 2015),2000s,legends,High,AM/FW,AM,,,,,,77.1,Relative legends rating at the 87% percentile of the same-position group (5 players); confidence=High,8913731,2783_metalurg_donetsk__2015_2000s_8913731
Yevhen Banada,yevhen banada,PFC Oleksandriya,2010s,legends,High,DM/CM,CDM,,,,,,66.6,Relative legends rating at the 87% percentile of the overall club-decade pool (13 players); confidence=High,8547951,18303_pfc_oleksandriya_2010s_8547951
Ihor Kohut,ihor kohut,SC Dnipro-1,2010s,legends,High,CM,CM,,,,3,9.0,68.6,Relative legends rating at the 87% percentile of the same-position group (5 players); confidence=High; reconstructed statistics were too incomplete for rating,8786524,60551_sc_dnipro_1_2010s_8786524
